Process_ID,Task_Name,Task_ID,Input_Data,Priority,Execution_Time
1862,Disk_IO,2,1991,1,19943
1287,Heavy_Compute,3,2149,8,107458
1123,Heavy_Compute,3,2886,6,144338
1887,Heavy_Compute,3,3986,3,199277
1222,Disk_IO,2,1525,10,15228
1060,OS_Routine,0,9,7,1
1916,OS_Routine,0,5,10,1
1254,Disk_IO,2,691,1,6957
1573,User_Interaction,1,21,8,61
1300,OS_Routine,0,3,9,31
1356,OS_Routine,0,6,3,1
1649,User_Interaction,1,60,2,338
1920,OS_Routine,0,5,9,16
1745,User_Interaction,1,47,9,252
1002,Disk_IO,2,815,6,8185
1735,Heavy_Compute,3,5801,2,290036
1018,Disk_IO,2,918,5,9161
1348,OS_Routine,0,10,9,1
1866,Disk_IO,2,1933,2,19327
1313,User_Interaction,1,97,7,515
1367,Heavy_Compute,3,2801,1,140081
1825,User_Interaction,1,73,9,402
1654,Disk_IO,2,1750,10,17451
1890,Disk_IO,2,294,10,2971
1560,OS_Routine,0,1,7,1
1871,Heavy_Compute,3,1758,1,87855
1084,OS_Routine,0,9,3,1
1189,User_Interaction,1,60,10,304
1283,Heavy_Compute,3,2540,9,126991
1238,Disk_IO,2,1205,7,12011
1388,OS_Routine,0,9,1,1
1263,Heavy_Compute,3,5421,4,271007
1268,OS_Routine,0,8,9,1
1075,Heavy_Compute,3,1154,9,57743
1119,Heavy_Compute,3,2318,5,115929
1056,OS_Routine,0,7,10,7
1120,OS_Routine,0,9,1,34
1877,User_Interaction,1,55,6,239
1184,OS_Routine,0,8,8,1
1923,Heavy_Compute,3,4287,1,214332
1451,Heavy_Compute,3,5250,1,262542
1384,OS_Routine,0,1,6,1
1898,Disk_IO,2,1754,3,17582
1858,Disk_IO,2,883,1,8814
1483,Heavy_Compute,3,5820,3,290988
1228,OS_Routine,0,6,9,3
1253,User_Interaction,1,69,5,378
1055,Heavy_Compute,3,3675,4,183794
1786,Disk_IO,2,1363,4,13608
1524,OS_Routine,0,6,10,21
1965,User_Interaction,1,94,6,477
1697,User_Interaction,1,33,4,151
1622,Disk_IO,2,108,3,1060
1900,OS_Routine,0,3,3,1
1586,Disk_IO,2,1443,2,14438
1096,OS_Routine,0,7,9,1
1434,Disk_IO,2,1669,1,16654
1179,Heavy_Compute,3,3929,3,196454
1530,Disk_IO,2,971,1,9695
1274,Disk_IO,2,809,8,8064
1044,OS_Routine,0,9,4,4
1112,OS_Routine,0,10,5,22
1180,OS_Routine,0,6,1,9
1899,Heavy_Compute,3,1863,1,93185
1495,Heavy_Compute,3,1560,7,77981
1751,Heavy_Compute,3,2516,4,125831
1198,Disk_IO,2,1141,2,11436
1335,Heavy_Compute,3,5293,9,264622
1471,Heavy_Compute,3,5441,5,272080
1020,OS_Routine,0,5,1,32
1183,Heavy_Compute,3,2748,4,137419
1767,Heavy_Compute,3,2446,4,122254
1672,OS_Routine,0,4,3,50
1823,Heavy_Compute,3,1299,9,64909
1637,User_Interaction,1,49,4,225
1197,User_Interaction,1,91,10,493
1527,Heavy_Compute,3,4540,8,226956
1525,User_Interaction,1,24,10,133
1707,Heavy_Compute,3,3304,4,165245
1625,User_Interaction,1,94,3,491
1026,Disk_IO,2,1675,7,16795
1187,Heavy_Compute,3,4396,8,219791
1804,OS_Routine,0,7,9,52
1035,Heavy_Compute,3,3170,5,158455
1947,Heavy_Compute,3,1651,2,82514
1474,Disk_IO,2,684,4,6835
1655,Heavy_Compute,3,3811,2,190570
1939,Heavy_Compute,3,4189,10,209441
1240,OS_Routine,0,1,1,15
1742,Disk_IO,2,1975,6,19704
1403,Heavy_Compute,3,3675,2,183779
1289,User_Interaction,1,12,7,56
1320,OS_Routine,0,7,9,62
1218,Disk_IO,2,353,10,3530
1054,Disk_IO,2,1396,6,13991
1107,Heavy_Compute,3,3482,6,174094
1808,OS_Routine,0,7,1,1
1380,OS_Routine,0,9,7,1
1196,OS_Routine,0,9,8,1
1914,Disk_IO,2,982,9,9868
1074,Disk_IO,2,1153,3,11510
1809,User_Interaction,1,80,5,400
1010,Disk_IO,2,1419,9,14167
1174,Disk_IO,2,592,3,5943
1363,Heavy_Compute,3,2937,1,146802
1782,Disk_IO,2,1193,7,11959
1275,Heavy_Compute,3,4616,5,230783
1610,Disk_IO,2,769,1,7656
1355,Heavy_Compute,3,2755,6,137758
1077,User_Interaction,1,86,9,405
1295,Heavy_Compute,3,3212,4,160553
1256,OS_Routine,0,8,6,8
1066,Disk_IO,2,479,7,4825
1863,Heavy_Compute,3,3619,1,180916
1760,OS_Routine,0,1,6,21
1548,OS_Routine,0,10,9,1
1710,Disk_IO,2,500,9,4989
1828,OS_Routine,0,9,10,40
1685,User_Interaction,1,69,4,318
1314,Disk_IO,2,1701,4,17038
1279,Heavy_Compute,3,2972,6,148601
1938,Disk_IO,2,610,5,6117
1734,Disk_IO,2,529,1,5323
1499,Heavy_Compute,3,3148,7,157397
1164,OS_Routine,0,5,6,48
1266,Disk_IO,2,176,5,1741
1889,User_Interaction,1,26,8,99
1166,Disk_IO,2,1598,7,16025
1402,Disk_IO,2,1588,2,15906
1213,User_Interaction,1,78,2,353
1421,User_Interaction,1,82,9,367
1459,Heavy_Compute,3,3910,2,195517
1912,OS_Routine,0,10,7,1
1979,Heavy_Compute,3,2039,5,101929
1604,OS_Routine,0,4,6,40
1094,Disk_IO,2,93,4,937
1996,OS_Routine,0,9,7,14
1093,User_Interaction,1,19,3,57
1517,User_Interaction,1,67,4,288
1470,Disk_IO,2,1942,3,19429
1850,Disk_IO,2,669,3,6694
1593,User_Interaction,1,89,9,420
1626,Disk_IO,2,1274,3,12738
1653,User_Interaction,1,13,6,114
1371,Heavy_Compute,3,1500,9,74982
1226,Disk_IO,2,1986,1,19900
1815,Heavy_Compute,3,3082,10,154053
1251,Heavy_Compute,3,1814,6,90665
1583,Heavy_Compute,3,5065,5,253245
1577,User_Interaction,1,32,4,163
1830,Disk_IO,2,1855,3,18591
1598,Disk_IO,2,208,5,2035
1042,Disk_IO,2,874,9,8757
1776,OS_Routine,0,6,7,32
1908,OS_Routine,0,1,9,1
1833,User_Interaction,1,67,2,368
1142,Disk_IO,2,1938,7,19418
1966,Disk_IO,2,1195,7,11992
1374,Disk_IO,2,678,6,6745
1202,Disk_IO,2,1737,10,17370
1265,User_Interaction,1,34,1,203
1058,Disk_IO,2,1775,1,17800
1995,Heavy_Compute,3,3282,5,164072
1481,User_Interaction,1,34,7,136
1467,Heavy_Compute,3,5916,1,295788
1257,User_Interaction,1,13,8,24
1466,Disk_IO,2,191,8,1904
1656,OS_Routine,0,8,6,1
1049,User_Interaction,1,46,7,265
1605,User_Interaction,1,46,8,244
1298,Disk_IO,2,788,2,7872
1533,User_Interaction,1,64,4,330
1568,OS_Routine,0,8,3,8
1532,OS_Routine,0,3,6,6
1410,Disk_IO,2,1340,5,13367
1418,Disk_IO,2,1169,5,11644
1907,Heavy_Compute,3,3852,1,192650
1061,User_Interaction,1,71,3,365
1385,User_Interaction,1,17,2,41
1454,Disk_IO,2,1914,2,19170
1383,Heavy_Compute,3,4385,7,219241
1377,User_Interaction,1,26,4,95
1713,User_Interaction,1,72,1,327
1015,Heavy_Compute,3,5301,2,265055
1330,Disk_IO,2,372,9,3747
1872,OS_Routine,0,4,2,1
1024,OS_Routine,0,7,10,1
1855,Heavy_Compute,3,4915,1,245789
1985,User_Interaction,1,11,8,61
1881,User_Interaction,1,23,8,96
1407,Heavy_Compute,3,5715,9,285772
1064,OS_Routine,0,1,3,50
1739,Heavy_Compute,3,3017,10,150896
1389,User_Interaction,1,36,9,172
1773,User_Interaction,1,22,10,84
1580,OS_Routine,0,5,1,47
1878,Disk_IO,2,476,4,4779
1659,Heavy_Compute,3,5237,9,261872
1802,Disk_IO,2,1208,7,12066
1462,Disk_IO,2,970,1,9741
1646,Disk_IO,2,1015,8,10158
1101,User_Interaction,1,54,1,279
1665,User_Interaction,1,32,8,187
1972,OS_Routine,0,1,9,1
1280,OS_Routine,0,8,1,47
1811,Heavy_Compute,3,2945,7,147227
1837,User_Interaction,1,63,8,348
1993,User_Interaction,1,27,3,169
1746,Disk_IO,2,1895,2,18911
1964,OS_Routine,0,7,7,59
1911,Heavy_Compute,3,1830,3,91514
1349,User_Interaction,1,70,3,373
1088,OS_Routine,0,1,6,11
1951,Heavy_Compute,3,5036,6,251772
1296,OS_Routine,0,7,9,8
1780,OS_Routine,0,7,9,1
1460,OS_Routine,0,8,3,1
1479,Heavy_Compute,3,4350,6,217484
1276,OS_Routine,0,7,4,1
1617,User_Interaction,1,87,4,470
1285,User_Interaction,1,67,5,299
1784,OS_Routine,0,2,3,1
1826,Disk_IO,2,1284,6,12834
1491,Heavy_Compute,3,4631,4,231511
1023,Heavy_Compute,3,3659,6,182951
1584,OS_Routine,0,3,7,1
1046,Disk_IO,2,660,9,6634
